name,label,profile,protocol,floor,room,telemetryTopic,commandTopic,statusTopic,deviceToken,authType,username,password,telemetryUri,commandUri,pskIdentity,pskValue
b01-f01-r101,MQTT Floor 01 Room 101,MQTT-ThermalSensor,mqtt,1,101,campus/b01/f01/r101/telemetry,campus/b01/f01/r101/cmd,campus/b01/f01/r101/status,b01-f01-mqtt-01-token,username_password,mqtt_b01-f01-r101,pass_01_01,,,,
b01-f01-r102,MQTT Floor 01 Room 102,MQTT-ThermalSensor,mqtt,1,102,campus/b01/f01/r102/telemetry,campus/b01/f01/r102/cmd,campus/b01/f01/r102/status,b01-f01-mqtt-02-token,username_password,mqtt_b01-f01-r102,pass_01_02,,,,
b01-f01-r103,MQTT Floor 01 Room 103,MQTT-ThermalSensor,mqtt,1,103,campus/b01/f01/r103/telemetry,campus/b01/f01/r103/cmd,campus/b01/f01/r103/status,b01-f01-mqtt-03-token,username_password,mqtt_b01-f01-r103,pass_01_03,,,,
b01-f01-r104,MQTT Floor 01 Room 104,MQTT-ThermalSensor,mqtt,1,104,campus/b01/f01/r104/telemetry,campus/b01/f01/r104/cmd,campus/b01/f01/r104/status,b01-f01-mqtt-04-token,username_password,mqtt_b01-f01-r104,pass_01_04,,,,
b01-f01-r105,MQTT Floor 01 Room 105,MQTT-ThermalSensor,mqtt,1,105,campus/b01/f01/r105/telemetry,campus/b01/f01/r105/cmd,campus/b01/f01/r105/status,b01-f01-mqtt-05-token,username_password,mqtt_b01-f01-r105,pass_01_05,,,,
b01-f01-r106,MQTT Floor 01 Room 106,MQTT-ThermalSensor,mqtt,1,106,campus/b01/f01/r106/telemetry,campus/b01/f01/r106/cmd,campus/b01/f01/r106/status,b01-f01-mqtt-06-token,username_password,mqtt_b01-f01-r106,pass_01_06,,,,
b01-f01-r107,MQTT Floor 01 Room 107,MQTT-ThermalSensor,mqtt,1,107,campus/b01/f01/r107/telemetry,campus/b01/f01/r107/cmd,campus/b01/f01/r107/status,b01-f01-mqtt-07-token,username_password,mqtt_b01-f01-r107,pass_01_07,,,,
b01-f01-r108,MQTT Floor 01 Room 108,MQTT-ThermalSensor,mqtt,1,108,campus/b01/f01/r108/telemetry,campus/b01/f01/r108/cmd,campus/b01/f01/r108/status,b01-f01-mqtt-08-token,username_password,mqtt_b01-f01-r108,pass_01_08,,,,
b01-f01-r109,MQTT Floor 01 Room 109,MQTT-ThermalSensor,mqtt,1,109,campus/b01/f01/r109/telemetry,campus/b01/f01/r109/cmd,campus/b01/f01/r109/status,b01-f01-mqtt-09-token,username_password,mqtt_b01-f01-r109,pass_01_09,,,,
b01-f01-r110,MQTT Floor 01 Room 110,MQTT-ThermalSensor,mqtt,1,110,campus/b01/f01/r110/telemetry,campus/b01/f01/r110/cmd,campus/b01/f01/r110/status,b01-f01-mqtt-10-token,username_password,mqtt_b01-f01-r110,pass_01_10,,,,
b01-f01-r201,CoAP Floor 01 Room 201,CoAP-ThermalSensor,coap,1,201,,,campus/b01/f01/r201/status,b01-f01-coap-01-token,psk,,,coap://[node_ip]/f01/r201/telemetry,coap://[gateway_ip]/f01/r201/actuators/hvac,coap_b01-f01-r201,psk-01-01
b01-f01-r202,CoAP Floor 01 Room 202,CoAP-ThermalSensor,coap,1,202,,,campus/b01/f01/r202/status,b01-f01-coap-02-token,psk,,,coap://[node_ip]/f01/r202/telemetry,coap://[gateway_ip]/f01/r202/actuators/hvac,coap_b01-f01-r202,psk-01-02
b01-f01-r203,CoAP Floor 01 Room 203,CoAP-ThermalSensor,coap,1,203,,,campus/b01/f01/r203/status,b01-f01-coap-03-token,psk,,,coap://[node_ip]/f01/r203/telemetry,coap://[gateway_ip]/f01/r203/actuators/hvac,coap_b01-f01-r203,psk-01-03
b01-f01-r204,CoAP Floor 01 Room 204,CoAP-ThermalSensor,coap,1,204,,,campus/b01/f01/r204/status,b01-f01-coap-04-token,psk,,,coap://[node_ip]/f01/r204/telemetry,coap://[gateway_ip]/f01/r204/actuators/hvac,coap_b01-f01-r204,psk-01-04
